dlga_lord_denounce_3:close_window.1|Hmf. 정말? 당신의 의견인가요, 아니면 내 경쟁자 중 한 사람이 그 말을 입에 넣었습니까? 신경 쓰지 마. 나는 당신의 게임을하지 않습니다. 저리 가서 음모를 가져가
dlga_lord_denounce_3:lord_denounce_4|{reg63? sir : my lady} 공개적으로 나를 부끄러워하지 않을 것입니다. 당신의 말을 철회하거나 결투장에서 저를 만나십시오.
dlga_lord_denounce_3:lord_denounce_4.1|그렇습니까? 글쎄요, 당신은 뱀이자 건달입니다. 결투장에서 저를 만나지 않으면 겁쟁이입니다. 그게 뭐라고? 당신은 당신의 말을 철회합니까, 아니면 칼을 건널까요?
dlga_lord_denounce_4:lord_respond_to_insult_challenge_duel_confirm|당신과 싸우는 것이 기쁨이 될 것입니다.
dlga_lord_denounce_4:lord_denounce_retract|나는 급하게 말했다. 나는 내 말을 취소합니다.
dlga_lord_denounce_retract:lord_pretalk|나는 많이 생각했다. 이제 여기서 나가십시오.
dlga_lord_talk:lord_respond_to_insult|{s9}
dlga_lord_pretalk:party_encounter_lord_hostile_attacker_2|그러나 충분한 대화-양보 또는 싸움!
dlga_lord_pretalk:lord_talk|다른 거있어?
dlga_hero_pretalk:lord_talk|다른 거있어?
dlga_lord_talk:lord_quarrel_intervention_1|{s11} (으)로 귀하의 싸움을 해결하고자합니다
dlga_lord_talk:lord_recruit_1_relation|손 내밀어! 내가 당신에게 개인적으로 말해야 할 것이 있습니다.
dlga_lord_talk:lord_bandit_information|나는 다음과 같은 설명으로 산적 그룹을 사냥하고 있습니다 ... 당신은 그들을 보았습니까?
dlga_lord_bandit_information:lord_pretalk|{s15}
dlga_lord_talk:lord_internal_politics_cur_stance|누가 우리 영역의 마샬이되어야한다고 생각합니까?
dlga_lord_talk:lord_internal_politics_cur_stance.1|{s4}의 피를 누가 받아야한다고 생각하십니까?
dlga_lord_talk:lord_husband_auto_recruit|나는 당신의 충성을 {s4}에 포기하고 지금 내 남편 {s5}에 가입해야합니다.
dlga_lord_husband_auto_recruit:lord_pretalk|우리가이 성벽 바깥에있을 때 다시 묻습니다.
dlga_lord_husband_auto_recruit:close_window|당신이 원하는대로 내 아내.
dlga_lord_talk:lord_recruit_1_relation.1|개인적으로 논의하고 싶은 문제가 있습니다.
dlga_lord_talk:lord_recruit_1_relation.2|개인적으로 당신과 이야기하고 싶은 것이 있습니다.
dlga_lord_talk:lord_talk|치트-군주 결정 씨앗과 음모 초조를 재설정
dlga_lord_talk:lord_respond_to_insult_challenge_duel|치트-결투합시다
dlga_lord_respond_to_insult:lord_pretalk|하! 나는 빠른 혀를 존경합니다. 아마 언젠가 나는 그것을 더 큰 여가에서 그것을 존경하기 위해 집게와 함께 제거 할 것이지만, 오늘 나는 적어도 당신의 지혜와 용기에 경의를 표할 것입니다.
dlga_lord_respond_to_insult:lord_pretalk.1|나는 공격을 의미하지 않았다, 마담.
dlga_lord_respond_to_insult:lord_respond_to_insult_challenge_battle|당신은 나를 자극하려고합니까? 저는 결투 여성, 평민, 반란군 또는 여단에 대한 의무가 없음을 알고 싶습니다. 그러나 나는 내 부하들에게 당신을 붙잡고 말을하도록 명령 할 수있었습니다. 그들이 그렇게 하시겠습니까?
dlga_lord_respond_to_insult:lord_respond_to_insult_challenge_duel|당신은 나를 자극하려고합니까? 저는 결투 여성, 평민, 반란군 또는 여단에 대한 의무가 없음을 알고 싶습니다. 그러나 귀하의 경우 예외를 기뻐합니다. 더 나은 {reg63? varlot : girl}을 (를) 연기 할 준비가 되셨습니까?
dlga_lord_respond_to_insult:close_window|당신은 나를 자극하려고합니까? 저는 결투 여성, 평민, 반란군 또는 여단에 대한 의무가 없음을 알고 싶습니다. 당신은 내가 기분이 좋은 사람에게 운이 좋았습니다. 왜냐하면 저는 제 직원들에게 당신을 붙잡고 말을하도록 명령 할 권리가 있습니다. 이제 갔다. 나는 너를 충분히 가졌다.
dlga_lord_respond_to_insult_challenge_battle:lord_respond_to_insult_challenge_battle_confirm|나는 그들이 시도하는 것을보고 싶습니다.
dlga_lord_respond_to_insult_challenge_battle:close_window|이것은 피를 흘릴 가치가 없습니다.
dlga_lord_respond_to_insult_challenge_battle_confirm:close_window|당신의 부실함이 충분합니다! {reg63? him : her}에서 젊은이들!
dlga_lord_respond_to_insult_challenge_duel:lord_respond_to_insult_challenge_duel_confirm|나는 당신에게 하나를 가르 칠 준비가되었습니다.
dlga_lord_respond_to_insult_challenge_duel:close_window|이것은 피를 흘릴 가치가 없습니다.
dlga_lord_respond_to_insult_challenge_duel_confirm:close_window|그러면 그렇게 해. 자신을 지켜라!
dlga_lord_quarrel_intervention_1:lord_quarrel_intervention_2|{s14}
dlga_lord_quarrel_intervention_2:lord_quarrel_intervention_3a|아 그러면 오른쪽에있는 것 같습니다.
dlga_lord_quarrel_intervention_2:lord_quarrel_intervention_3b|당신의 차이점이 무엇이든, 나는 당신이 그것들을 해결하기를 바랍니다.
dlga_lord_quarrel_intervention_2:lord_quarrel_intervention_3b.1|당신은 당신의 차이점을 해결하기 위해 확신 할 수 있습니까?
dlga_lord_quarrel_intervention_2:lord_pretalk|다시 생각하면, 나는 이것과 아무 관련이 없습니다.
dlga_lord_quarrel_intervention_3a:lord_pretalk|그렇게 생각해서 다행입니다.
dlga_lord_quarrel_intervention_3b:lord_quarrel_intervention_4|우리의 우정을 위해, 나는 당신의 판단을 연기합니다. {s11}을 (를) 수정하려고합니다.
dlga_lord_quarrel_intervention_3b:lord_pretalk|나는 {s11}과 화해하지 않을 것입니다. 나는 나의 권리를 알고있다.
dlga_lord_quarrel_intervention_4:lord_pretalk|우리의 싸움이 결코 일어나지 않은 것처럼 보자.
dlga_lord_quarrel_intervention_4:lord_pretalk.1|나는 당신이 {s11}에게 말하고 그가 나를 위해 똑같이할지보아야한다고 생각합니다.
dlga_lord_internal_politics_cur_stance:lord_internal_politics_cur_stance_plyr_response|나는 이미 당신을 지원하기 위해 내 마음을 구성했습니다.
dlga_lord_internal_politics_cur_stance:lord_internal_politics_cur_stance_plyr_response.1|현재 결정할 수 없습니다
dlga_lord_internal_politics_cur_stance:lord_internal_politics_cur_stance_plyr_response.2|{s15}를 지원합니다. {s10}
dlga_lord_internal_politics_cur_stance_plyr_response:lord_internal_politics_plyr_choose_candidate|내가 누구를지지하는지 말해 줄께 ...
dlga_lord_internal_politics_cur_stance_plyr_response:lord_internal_politics_cur_stance_plyr_response|치트-재설정 지원
dlga_lord_internal_politics_plyr_choose_candidate:lord_internal_politics_plyr_choose_candidate_select|누구를 지원합니까?
dlga_lord_internal_politics_plyr_choose_candidate_select:lord_internal_politics_pretalk|그 영광을 위해 자신을 추천하고 싶습니다
dlga_lord_internal_politics_plyr_choose_candidate_select:lord_internal_politics_pretalk.1|남편 {s4}을 (를) 지원합니다
dlga_lord_internal_politics_plyr_choose_candidate_select:lord_internal_politics_support_acknowledge|{s4}, 나는 당신을 지원합니다
dlga_lord_internal_politics_plyr_choose_candidate_select:lord_internal_politics_support_same_acknowledge|나는 당신의 선택을지지 할 것입니다, {s4}
dlga_lord_internal_politics_plyr_choose_candidate_select:lord_pretalk|신경 쓰지 마
dlga_lord_internal_politics_support_acknowledge:lord_pretalk|그것은 당신에게 가장 은혜로운 일이지만, 나는 영광을 찾지 않으며, 나는 당신의지지를 거부합니다.
dlga_lord_internal_politics_support_acknowledge:lord_pretalk.1|나는 당신을 믿지 않으며 당신의 지원이 필요하지 않습니다.
dlga_lord_internal_politics_support_acknowledge:lord_pretalk.2|그게 가장 은혜 롭습니다
dlga_lord_internal_politics_support_same_acknowledge:lord_pretalk|그에게 직접 말할 수도 있습니다. 나는 당신을 믿지 않으며, 당신이 플레이하는 어떤 게임에도 참여하지 않을 것입니다.
dlga_lord_internal_politics_support_same_acknowledge:lord_pretalk.1|{s4}와의 관계를 고려할 때, 그는 당신의 지원을 환영 할 것이라고 생각하지 않습니다.
dlga_lord_internal_politics_support_same_acknowledge:lord_pretalk.2|나는 {s4}에게 말할 것이다. 그는 당신의 지원에 감사 할 것입니다.
dlga_lord_internal_politics_plyr_choose_candidate_select:lord_internal_politics_pretalk.2|{s4}를 지원합니다
dlga_lord_internal_politics_pretalk:lord_internal_politics_cur_stance_plyr_response|아 가장 흥미로운.
dlga_lord_internal_politics_cur_stance_plyr_response:lord_internal_politics_plyr_request_support|대신 당신이 나를 지원하도록 설득 할 수 있습니까?
dlga_lord_internal_politics_cur_stance_plyr_response:lord_pretalk|어쨌든 당분간 정치가 충분합니다.
dlga_lord_internal_politics_plyr_request_support:lord_pretalk|당신은 지금 가능한 후보가 되기에는 너무 많은 논쟁을 일으켰습니다. 나는 당신을 위해 더 많은 영예를 구하기 전에 잠시 기다리라고 권합니다.
dlga_lord_internal_politics_plyr_request_support:lord_pretalk.1|미안 해요. {s4}와의 관계를 긴장시키고 싶지 않습니다.
dlga_lord_internal_politics_plyr_request_support:lord_pretalk.2|당신은 이미 당신의 업적에 적합한 불화에 대해 보상을 많이 받았습니다.
dlga_lord_internal_politics_plyr_request_support:lord_pretalk.3|나는 당신이 그 직책을 수행하기 전에 자신을 더 증명해야한다고 생각합니다.
dlga_lord_internal_politics_plyr_request_support:lord_pretalk.4|흠 ... 우리 관계의 상태를 고려할 때 그것은 너무 많은 질문입니다.
dlga_lord_internal_politics_plyr_request_support:lord_pretalk.5|나는 당신을 기쁘게 지원합니다.
dlga_lord_recruit_1_relation:lord_pretalk|나는 정치 이야기에 약간 지쳤습니다. 아마도 나중에
dlga_lord_recruit_1_relation:lord_pretalk.1|{s12}
dlga_lord_recruit_1_relation:lord_recruit_pretender|{s16}을 (를) 대신하여 반란의 표준을 높였습니다. {reg3? 그녀 : 그의} 사건을 간청하셨습니까?
dlga_lord_recruit_pretender:lord_recruit_3_dilemma_1|나는 가지고있다
dlga_lord_recruit_pretender:lord_recruit_1_relation|아니, 그렇지 않아 토론하고 싶은 또 다른 문제가 있습니다.
dlga_lord_recruit_1_relation:lord_pretalk.2|{s12}
dlga_lord_recruit_1_relation:lord_recruit_2|{s12}
dlga_lord_recruit_2:lord_recruit_2_philosophy|일반적으로 왕, 군주, 정치에 대해 어떻게 생각하십니까?
dlga_lord_recruit_2:lord_spouse_leave_faction|남편, 저는 당신이 {s11}에 대한 충성을 다시 생각해야한다고 믿습니다.
dlga_lord_spouse_leave_faction:lord_spouse_leave_faction_2|{s9}는 항상 나에게 좋은 거짓말 이었지만, 나는 당신을들을 것입니다. 우리는 무엇을 제안합니까?
dlga_lord_spouse_leave_faction:lord_spouse_leave_faction_2.1|{s9}을 (를) 포기할 특별한 이유는 없지만 귀하의 조언에 유의하십시오. 우리는 무엇을 제안합니까?
dlga_lord_spouse_leave_faction:lord_spouse_leave_faction_2.2|그렇습니다. 리에 주로서 {s9}는 큰 실망입니다. 우리는 무엇을 제안합니까?
dlga_lord_spouse_leave_faction_2:lord_spouse_leave_faction_husband_king|나는 당신이 왕이되어야한다고 믿습니다, 남편!
dlga_lord_spouse_leave_faction_2:lord_spouse_leave_faction_proclaim_queen|저는 펜 도르의 정당한 여왕입니다
dlga_lord_spouse_leave_faction_2:lord_pretalk|신경 쓰지 마
dlga_lord_spouse_leave_faction_husband_king:lord_pretalk|어쩌면 언젠가는 아내입니다.하지만 제 자신을 왕으로 선포하기 전에 우리 중 한 사람이 공개적으로 선언하기 전에 우리의 법정 역할을 할 수있는 요새를 갖고 싶습니다.
dlga_lord_spouse_leave_faction_proclaim_queen:lord_pretalk|아내의 주장에 반대하지는 않지만 공개적으로 선언하기 전에 우리 중 한 명이 법정 역할을 할 수있는 요새를 갖고 싶습니다.
dlga_lord_spouse_leave_faction_proclaim_queen:lord_spouse_leave_faction_proclaim_queen_confirm|{s11}
dlga_lord_spouse_leave_faction_proclaim_queen:lord_pretalk.1|{s11}
dlga_lord_spouse_leave_faction_proclaim_queen_confirm:close_window|이제 준비 됐습니다, 남편 우리의 왕좌를 찾으러 나갑시다.
dlga_lord_spouse_leave_faction_proclaim_queen_confirm:lord_pretalk|아마도 나는 아직 준비되지 않았다.
dlga_lord_spouse_leave_faction_husband_king:lord_pretalk.1|아마도, 그러나 그 주장을하기 위해서는 당신의 전폭적 인 지원이 필요합니다. 이것을 더 밀어 내기 전에 {s4}의 반란을 해결하고 싶을 것입니다.
dlga_lord_spouse_leave_faction_husband_king:lord_spouse_leave_faction_husband_king_2|이 땅의 대가족 대부분은 왕위에 대한 주장을 가지고 있습니다 ... 최근의 계승 문제를 감안할 때 저는 {s4}만큼 합법적 인 왕이되어야합니다.
dlga_lord_spouse_leave_faction_husband_king_2:lord_spouse_leave_faction_husband_king_3|왕이되는 동안, 나는 목사 임명, 외교 행위 및 기타 문제들에 대한 당신의 판단을 연기 할 것입니다.
dlga_lord_spouse_leave_faction_husband_king_3:close_window|잘, 내 남편. 우리가 당신의 주장을 강요하기 위해 나아 갑시다
dlga_lord_spouse_leave_faction_husband_king_3:lord_pretalk|실제로, 우리 시간을 조금 빌려 보자.
dlga_lord_recruit_2_philosophy:lord_recruit_2|{s43} 다른 말을 하시겠습니까?
dlga_lord_recruit_2:lord_recruit_2_discontent|{s15}에 대해 어떻게 생각하십니까?
dlga_lord_recruit_2:lord_recruit_3_a|내가 이전에 말한 것을 기억하십니까?
dlga_lord_recruit_2:lord_recruit_quarrel_describe|{s16}과 (와) 싸움을했다고 들었습니다.
dlga_lord_recruit_quarrel_describe:lord_recruit_2|비밀이 아닙니다. {s14}
dlga_lord_recruit_2:lord_pretalk|신경 쓰지 마
dlga_lord_recruit_2_discontent:lord_recruit_2_discontent_b|{s12}
dlga_lord_recruit_2_discontent:lord_recruit_hesitant|{s12}
dlga_lord_recruit_2_discontent_b:lord_recruit_3|때때로, 나는 영역의 상태에 대해 걱정합니다.
dlga_lord_recruit_hesitant:lord_recruit_hesitant_persuade|좀 더 말하도록 설득 할 수 없습니까?
dlga_lord_recruit_hesitant:lord_pretalk|아 아주 좋아요
dlga_lord_recruit_hesitant_persuade:lord_recruit_3|당신이 그렇게한다면, 나는 때때로 영역의 상태에 대해 걱정한다는 것을 인정합니다.
dlga_lord_recruit_hesitant_persuade:lord_pretalk|내 인내심을 시험 해봐 나는 할 말이 없다고 말했다.
dlga_lord_recruit_3:lord_recruit_3_a|글쎄, 당신에게 할 말이 있습니다.
dlga_lord_recruit_3:lord_pretalk|알다시피 흥미 롭습니다. 그러나 정치에 대해서는 충분합니다.
dlga_lord_recruit_3_a:lord_recruit_3_reset_claim|{s12}
dlga_lord_recruit_3_reset_claim:lord_recruit_3_claim|그래 그거야.
dlga_lord_recruit_3_reset_claim:lord_recruit_3_a_reset|조금 다르게 표현하겠습니다.
dlga_lord_recruit_3_a:lord_recruit_3_b|예?
dlga_lord_recruit_3_a_reset:lord_recruit_3_b|예?
dlga_lord_recruit_3_b:lord_recruit_3_why|펜 도르의 왕좌에 대한 당신의 지원을 요청합니다
dlga_lord_recruit_3_b:lord_recruit_3_why.1|나는 모든 펜 도르의 군주로서 나의 포위, {s45}에 대한 충성을 맹세합니다.
dlga_lord_recruit_3_b:lord_pretalk|신경 쓰지 마
dlga_lord_recruit_3_dilemma_1:lord_recruit_3_dilemma_2|{s43}
dlga_lord_recruit_3_dilemma_2:lord_recruit_3_why|{s43}
dlga_lord_recruit_3_why:lord_pretalk|우리 둘 다 우리 이름에 단 하나의 요새가 없습니다. 숲속 무법자 소굴에서 왕국을 통치 하시겠습니까?
dlga_lord_recruit_3_why:lord_recruit_3_d|왜 {s44}를 지원해야합니까?
dlga_lord_recruit_3_d:lord_recruit_3_claim|{s43}
dlga_lord_recruit_3_d:lord_recruit_3_claim.1|{s45}가 {s47} 인 경우, {s45}는 모든 남성을 공정하게 대우하고 공동의 권리를지지합니다.
dlga_lord_recruit_3_d:lord_recruit_3_claim.2|{s45}가 {s47} 인 경우, {s45}는이 땅의 귀족으로서 귀하의 고대 권리를지지합니다.
dlga_lord_recruit_3_d:lord_recruit_3_claim.3|{s45}가 Pendor를 통합하고이 불화를 끝낼 수 있기 때문입니다.
dlga_lord_recruit_3_d:lord_recruit_3_claim.4|{s45}가 땅으로 보상 해 줄 것이기 때문입니다.
dlga_lord_recruit_3_d:lord_pretalk|신경 쓰지 마
dlga_lord_recruit_3_claim:lord_recruit_3_claim|각 사람에게 가장 듣고 싶은 생각을 말할 수 있습니까? {s12}
dlga_lord_recruit_3_claim:lord_recruit_4|{s12}
dlga_lord_recruit_3_claim:lord_pretalk|{s12}
dlga_lord_recruit_4:lord_recruit_4_objective_conditions|귀하의 충성을 {s16}에게 맹세합니다.
dlga_lord_recruit_4:lord_pretalk|신경 쓰지 마.
dlga_lord_recruit_4_objective_conditions:lord_recruit_5_security|생각 해보자 ...
dlga_lord_recruit_5_security:lord_recruit_5_political|{s32}
dlga_lord_recruit_5_political:lord_recruit_5_ideological|{s31}
dlga_lord_recruit_5_ideological:lord_recruit_5_change_sides|{s33}
dlga_lord_recruit_5_change_sides:lord_recruit_6|{s34}
dlga_lord_recruit_6:lord_recruit_6_reaction|이제 결정을 내릴 시간입니다.
dlga_lord_recruit_6:lord_pretalk|아무것도 결정할 필요가 없습니다. 나중에 이것에 대해 이야기 할 수 있습니다.
dlga_lord_recruit_6_reaction:lord_recruit_7_decision|아주 잘...
dlga_lord_recruit_7_decision:lord_pretalk|{s12}
dlga_lord_recruit_7_decision:lord_recruit_pledge|아주 잘-나는 내 {reg4? queen : king}으로서 {s4}에 자신을 다짐 할 준비가되었습니다.
dlga_lord_recruit_pledge:lord_recruit_pledge|생각해 내다. 당신은 나에게 약점을 약속했습니다. 그 약속을 지키겠습니다.
dlga_lord_recruit_pledge:lord_recruit_pledge_conclude|그렇습니다. 나는 당신에게 충성스러운 신실한 충성을 맹세합니다. 나는 당신이 내 칼을 필요로 할 때 적들과 싸우기 위해 당신 편에 서서 당신의 주장과 정당한 상속인의 주장을지지합니다. 나는 당신이 나를 보호하고 내 권리를 당신의 속임수로 인정할 것을 기대합니다.
dlga_lord_recruit_pledge:lord_recruit_pledge_conclude.1|그러니 당신은 {s4}에게 내가 {reg4? her : him}의 신실한 속임수를 내 호흡이 남아있는 한 {reg4? her : him}을 따르겠다고 알릴 수 있습니다. {reg4? her : his} 적들과 {reg4? she : he} 싸울 상대는 내 검이 필요하며, {reg4? her : his}의 적법한 주장과 {reg4? her : his의 주장을지지합니다. } 정당한 상속인. 차례로, 나는 {reg4? 그녀의 :} 그의 권리를 {reg4? 그녀의 :} 그의 허위로 보호하고 인정할 것으로 기대합니다.
dlga_lord_recruit_pledge_conclude:close_window|지금 ... 그것은 내가 한 순간입니다. 다음에 나올 일을 준비하는 데 시간이 필요할 수 있으므로 휴가를 떠날 것입니다.
dlga_lord_start:close_window.3|{s11} {s10}을 (를) 통해 선물을 받았습니다. {reg63? sir : my lady} 고귀한 몸짓이었고, 우리가 다투었던 것을 후회합니다.
dlga_lord_start:close_window.4|{s11} {s10}을 (를) 통해 선물을 받았습니다. {reg4? her : his}를 위해 bygones가 bygones가되도록하겠습니다.
dlga_lord_start:close_window.5|{s11} {s10}을 (를) 통해 선물을 받았습니다. 바! 내 우정을 살 수 있다고 생각하십니까?
dlga_lord_start:close_window.6|{s11} {s10}을 (를) 통해 선물을 받았습니다. {reg? she : he} 님이 제게 아는 한, 저는 우리의 차이점을 잊을 수 없습니다.
dlga_lord_talk:denounce_lord_results|당신이 제안한대로하고 {s4}를 비난했습니다.
dlga_denounce_lord_results:lord_pretalk|그렇습니다. 바라건대 이제 {s4}이 (가) 다른 불의, 명예 또는 직책을 맡기기 전에 두 번 생각할 것입니다. 우리는 당신에게 감사합니다.
dlga_denounce_lord_results:close_window|우리는 그가 당신에게 당신의 말을 철회하도록 강요했다고 들었습니다. 감사합니다. {reg63? sir : my lady}, 저에게 감사의 마음을 전하지 않으면 저를 용서해 주실 것입니다.
dlga_lord_talk:lord_quest_intrigue_result|요청하신대로하고 {s4}의 위험에 대해 {s5}에게 이야기했습니다.
dlga_lord_quest_intrigue_result:lord_pretalk|그래서 우리는 들었습니다. 바라건대 {s5}이 (가) 다른 불, 명예 또는 직책을 맡기기 전에 두 번 생각할 것입니다. 우리는 당신에게 감사합니다.
dlga_lord_quest_intrigue_result:close_window|그래서 우리는 들었습니다. 그러나 슬프게도 {s5}는 듣지 않은 것 같습니다. 그래도 시도해 주셔서 감사합니다.
dlga_lord_talk:lord_lend_companion_end|더 이상 {reg3? her : his} 서비스가 필요하지 않은 경우 {s14}를 {s65} (으)로 돌려주십시오.
dlga_lord_lend_companion_end:lord_pretalk|이미 회사에 너무 많은 남성이 있습니다 ({playername}). 지금은 더 이상 이끌 수 없습니다.
dlga_lord_lend_companion_end:lord_pretalk.1|확실히 {playername}입니다. {reg3? 그녀 : 그}는 밝은 {reg3? girl : fellow}입니다. 당신은 그런 합당한 동반자를 갖는 운이 좋은 {reg63? man : woman}입니다.
dlga_lord_talk:lord_ask_to_collect_debt|{s1}에게 지불해야 할 부채를 드리겠습니다.
dlga_lord_ask_to_collect_debt:lord_ask_to_collect_debt_2|오. 글쎄, {s1}은 (는) 내게은을 좀 빌려줬지만 과거에 그에게 많은 호의를 베풀었고 그 돈을 저의 지불금으로 생각합니다.
dlga_lord_ask_to_collect_debt_2:convince_begin|{s1}은이를 부채로 간주합니다. 그는 당신을 대신해서 당신에게 말하도록 요청했습니다.
dlga_lord_ask_to_collect_debt_2:lord_pretalk|그런 다음 더 이상 문제를 누르지 않을 것입니다.
dlga_convince_accept:close_window|{s8}에 대한 나의 빚은 오래 전에 기한이 지났고 나에게 큰 불편의 근원이었습니다. 그에게 돈을 가져가는 것을 받아 들여 주셔서 감사합니다. 그에게 {reg10} 디나르를 주시고 저를 대신하여 감사드립니다.
dlga_lord_talk:lord_ask_to_make_peace|{s64}, {s12}와 {s13} 사이에이 전쟁을 끝내야합니다.
dlga_lord_ask_to_make_peace:lord_ask_to_make_peace_2|뭐라고? 잘 들었습니다. {playername}. 갈등의 어느 쪽에서도 전쟁을 쉽게 잊을 수 없으며 기억력이 매우 깁니다. 왜 그 개들과 평화를 중개하는 데 관심을 가져야합니까?
dlga_lord_ask_to_make_peace_2:convince_begin|아마도 내가 당신에게 이야기 할 수 있습니다 ...
dlga_lord_ask_to_make_peace_2:lord_pretalk|걱정 마세요, 평화는 지금 기다릴 수 있습니다.
dlga_convince_accept:close_window.1|당신은 ... {playername}을 설득했습니다. 그렇다면 여러분, {s14}에게 평화 제안을 가져다 주신 축복을 받았습니다. 나는 그들이 그것을 받아 들일 것이라고 보장 할 수는 없지만, 그들이 할 기회가있을 때 나는 그것을지지 할 것이다.
dlga_lord_talk:lord_ask_to_give_girl|{s1}에서 가져온 소녀를 그대로 넘겨주십시오.
dlga_lord_ask_to_give_girl:lord_ask_to_give_girl_2|왜 내가해야합니까? 나는 그녀와 함께 길을 가야했고 그녀를 군인들에게 맡겼다. 당신은 그녀를 가질 수 있습니다.
dlga_lord_ask_to_give_girl:lord_ask_to_give_girl_2.1|왜 신경 쓰겠 어? 그것은 단지 마을 소녀이며 내 전리품의 합법적 인 부분입니다.
dlga_lord_ask_to_give_girl_2:convince_begin|그럼에도 불구하고 나는 지금 그녀를 다시 원해 얘기합시다
dlga_lord_ask_to_give_girl_2:close_window|그런 다음 그녀를 강제로 데려 갈 것입니다.
dlga_lord_ask_to_give_girl_2:lord_pretalk|그런 다음 더 이상 주장하지 않습니다. 원하는대로하십시오.
dlga_convince_accept:close_window.2|당신은 당신의 여자를 가질 수 있습니다, 그녀는 평범한 농민 strumpet입니다.
dlga_lord_talk:lord_challenge_duel_for_lady|{s1}에 대한 귀하의 고발을 철회하고 싶습니다.
dlga_lord_challenge_duel_for_lady:lord_challenge_duel_for_lady_2|무슨 고발? 모든 사람들은 그녀가 안정된 소년들과 남편이 자리를 비울 때 손을 댈 수있는 다른 사람들에게 침대를 제공한다는 것을 알고 있습니다. 나는 단지 많은 사람들의 말을 반복합니다.
dlga_lord_challenge_duel_for_lady_2:lord_challenge_duel|당신은이 거짓말들, sirrah를 암송하거나 내 칼에 대하여 그것을 증명할 것입니다!
dlga_lord_challenge_duel_for_lady_2:lord_pretalk|그렇게 말하면 ...
dlga_lord_challenge_duel:close_window|{s15}
dlga_lord_talk:lord_challenge_courtship_rival|{s5}의 수트를 포기하십시오!
dlga_lord_challenge_courtship_rival:lord_challenge_courtship_rival_2|또는 무엇을? 당신은 여자를 결투하려고합니까? 모든 사람이 외국 원수와 대항해야 할 때, 우리의 대가는 이런 종류의 뜨거운 도전에 눈살을 찌푸립니다.
dlga_lord_challenge_courtship_rival_2:lord_challenge_duel|당신은 저와 싸우는 것을 두려워합니까?
dlga_lord_challenge_courtship_rival_2:lord_pretalk|내 용서 나는 어리석게 말했다 ...
dlga_lord_talk:lord_message_delivered|{s9}에서 메시지를 가져 왔습니다.
dlga_lord_message_delivered:lord_pretalk|오? 내가 보자 ... 음, 음! {playername} 님, 저를 가져 오게되어 기쁩니다. 내가받은 증거로 도장을 찍고, 다시 볼 때 {s9}에게 감사의 말을 전하십시오.
dlga_lord_talk:lord_message_delivered_enemy|{s9}에서 메시지를 가져 왔습니다.
dlga_lord_message_delivered_enemy:close_window|오? 내가 보자 ... 흠. {playername} 님, 저를 가져 오게되어 기쁩니다. 감사의 표시로 봉인을 받았습니다.
dlga_lord_talk:lord_deliver_message_prisoner|{s11}에서 메시지를 가져 왔습니다.
dlga_lord_deliver_message_prisoner:lord_deliver_message_prisoner_2|사실일까요? 아, 감사합니다 {playername}! 이 황량한 벽에 희망과 작은 빛의 광선을 가져 왔습니다. 아마 언젠가 나는 당신을 갚을 수있을 것입니다.
dlga_lord_deliver_message_prisoner_2:lord_deliver_message_prisoner_2a|'내가 할 수있는 일이 가장 적었습니다. {s65}.
dlga_lord_deliver_message_prisoner_2a:close_window|{playername} 님, 내가 얼마나 감사하는지 모릅니다. 천 감사합니다.
dlga_lord_deliver_message_prisoner_2:lord_deliver_message_prisoner_2b|걱정하지 마세요, {s65}. 다시 자유 로워지면 충분한 기회가 주어집니다.
dlga_lord_deliver_message_prisoner_2b:close_window|물론 {playername}입니다. 나의 영원한 감사는 당신과 함께합니다.
dlga_lord_talk:lord_rescue_by_replace_offer|두려워하지 마십시오. 나는 당신을 구하기 위해 여기 있습니다.
dlga_lord_rescue_by_replace_offer:lord_rescue_by_replace_offer_2|당신은 진지합니까? 당신의 계획은 무엇입니까?
dlga_lord_rescue_by_replace_offer_2:lord_rescue_by_replace_offer_3|간단한 소문, {s65}. 우리가 의복을 교환 할 경우, 나는 당신을 탈출 장소로 삼고, 당신은 탈출구를 자신으로 위장합니다. 나는 경비원에게 잘 생긴 뇌물을 지불했으며, 그들은 이미 가장 가까운 선술집의 와인 주식 절반을 구입했다고 확신합니다. 운이 좋으면 그들은 곧 술에 취해 자기 어머니를 알아 차리는데 어려움을 겪을 것입니다. 당신이 안전하게 떠나기 전까지는
dlga_lord_rescue_by_replace_offer_3:lord_rescue_by_replace_offer_4|흠, 그것은 효과가 있을지 모르지만 내 {reg63? friend : lady}? 경비원들은이 속임수를 친절하게 받아들이지 않을 것입니다. 이 셀에서 시간을 보내 게 될 수도 있습니다.
dlga_lord_rescue_by_replace_offer_4:lord_rescue_by_replace_offer_5a|걱정하지 마세요, {s65}. 장소는 이미 나에게 자라기 시작했다.
dlga_lord_rescue_by_replace_offer_4:lord_rescue_by_replace_offer_5b|마지막에 충분한 보상이있는 한 괜찮습니다.
dlga_lord_rescue_by_replace_offer_5a:lord_rescue_by_replace_offer_6|당신은 참으로 용감한 영혼입니다. 나는 이것을 잊지 않을 것이다.
